DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	lineage
COLOR	#1f78b4

LEGEND_TITLE	lineage
LEGEND_SHAPES	1	1
LEGEND_COLORS	#a6cee3	#1f78b4
LEGEND_LABELS	A	B

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
SRR5827195	#1f78b4	B
SRR13305402	#1f78b4	B
25825_2_59	#1f78b4	B
ERR1143693	#1f78b4	B
SRR3360982	#1f78b4	B
ERR1143662	#1f78b4	B
ERR1143705	#1f78b4	B
ERR1143701	#1f78b4	B
ERR1143674	#1f78b4	B
ERR449493	#1f78b4	B
ERR3325250	#1f78b4	B
ERR1143670	#1f78b4	B
ERR349888	#1f78b4	B
SRR5827167	#1f78b4	B
SRR5827182	#1f78b4	B
SRR11904209	#1f78b4	B
ERR388435	#1f78b4	B
ERR3325658	#1f78b4	B
SRR8079765	#1f78b4	B
SRR8172041	#1f78b4	B
ERR10172565	#1f78b4	B
SRR11904001	#1f78b4	B
FL36	#1f78b4	B
25818_2_13	#1f78b4	B
GCGS0525	#1f78b4	B
GCGS0529	#1f78b4	B
SRR13429245	#1f78b4	B
25818_3_222	#1f78b4	B
SRR11903919	#1f78b4	B
ERR2133926	#1f78b4	B
ERR9668912	#1f78b4	B
ERR9838746	#1f78b4	B
ERR7976087	#1f78b4	B
ERR9668944	#1f78b4	B
ERR9668994	#1f78b4	B
ERR9838553	#1f78b4	B
ERR4776783	#1f78b4	B
CCC022	#1f78b4	B
ERR1549790	#1f78b4	B
ERR3325717	#1f78b4	B
ERR349897	#1f78b4	B
ERR3325248	#1f78b4	B
ERR349892	#1f78b4	B
ERR9838419	#1f78b4	B
GCGS0292	#1f78b4	B
SRR960561	#1f78b4	B
ERR3325773	#1f78b4	B
SRR10619218	#1f78b4	B
ERR7976024	#1f78b4	B
ERR9839301	#1f78b4	B
ERR3851629	#1f78b4	B
SRR5827097	#1f78b4	B
ERR7986565	#1f78b4	B
ERR1555231	#1f78b4	B
MA73	#1f78b4	B
POA58	#1f78b4	B
ERR502176	#1f78b4	B
MA65	#1f78b4	B
SP22	#1f78b4	B
ERR9837360	#1f78b4	B
ERR9839397	#1f78b4	B
ERR9837161	#1f78b4	B
ERR9669000	#1f78b4	B
ERR1528311	#1f78b4	B
ERR9668940	#1f78b4	B
ERR3851848	#1f78b4	B
ERR1560867	#1f78b4	B
7M	#1f78b4	B
ERR7986133	#1f78b4	B
ERR1514845	#1f78b4	B
ERR349960	#1f78b4	B
SRR13300785	#1f78b4	B
SRR13300789	#1f78b4	B
ERR349890	#1f78b4	B
ERR388340	#1f78b4	B
SRR3360630	#1f78b4	B
ERR449524	#1f78b4	B
ERR449486	#1f78b4	B
SRR3361352	#1f78b4	B
SRR13305419	#1f78b4	B
SRR13305439	#1f78b4	B
SRR13305407	#1f78b4	B
SRR13300793	#1f78b4	B
ERR9839008	#1f78b4	B
ERR3578134	#1f78b4	B
ERR4776759	#1f78b4	B
ERR3325433	#1f78b4	B
SRR13305414	#1f78b4	B
SRR13305434	#1f78b4	B
ERR1560859	#1f78b4	B
ERR9838756	#1f78b4	B
SRR3343540	#1f78b4	B
ERR3851804	#1f78b4	B
GCGS0471	#1f78b4	B
GCGS0432	#1f78b4	B
GCGS0438	#1f78b4	B
GCGS0313	#1f78b4	B
ERR349978	#1f78b4	B
CCC029	#1f78b4	B
ERR388329	#1f78b4	B
ERR439356	#1f78b4	B
ERR3851726	#1f78b4	B
ERR449492	#1f78b4	B
